Index,Book Name,Author,Rating,Number of Votes,Score
1706,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,3.99,89937,4227
1707,"Crossed (Matched, #2)",Ally Condie,3.52,250962,4223
1708,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,4.3,139434,4221
1709,"The Sum of All Fears (Jack Ryan, #6)",Tom Clancy,4.07,64084,4218
1710,"The Crystal Cave (Arthurian Saga, #1)",Mary Stewart,4.13,47151,4217
1711,American Pastoral,Philip Roth,3.94,82699,4214
1712,"Diplomats & Admirals: From Failed Negotiations and Tragic Misjudgments to Powerful Leaders and Heroic Deeds, the Untold Story of the Pacific War from Pearl Harbor to Midway",Dale A. Jenkins,4.3,5554,4208
1713,"The Asset (Lance Spector, #1)",Saul Herzog,4.29,10732,4208
1714,Into the Darkest Corner,Elizabeth Haynes,4.07,70362,4205
1715,The Brothers K,David James Duncan,4.39,16255,4204
1716,The Heart Is a Lonely Hunter,Carson McCullers,3.99,113268,4192
1717,Not Till We Are Lost (Bobiverse #5),Dennis E. Taylor,4.27,4191,4191
1718,"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want (Dale Carnegie Books)",Joe Hart,4.26,7117,4189
1719,Silent Spring,Rachel Carson,4.04,50292,4183
1720,"North and South (North and South, #1)",John Jakes,4.2,61656,4182
1721,The Starless Sea,Erin Morgenstern,3.85,215215,4179
1722,The Song of Achilles,Madeline Miller,4.32,1647654,4178
1723,"Vampire Academy Collection (Vampire Academy, #1-3)",Richelle Mead,4.61,34034,4167
1724,"Six Crimson Cranes (Six Crimson Cranes, #1)",Elizabeth Lim,4.2,86953,4161
1725,Hunger,Knut Hamsun,4.05,58610,4158
1726,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renée Ahdieh,4.05,180340,4157
1727,"The Reaper's Cloak (The Lost Artefacts, #4)",Johnathon Nicolaou,4.58,262,4146
1728,Les Liaisons dangereuses,Pierre Choderlos de Laclos,4.06,55005,4143
1729,The Keeper of Happy Endings,Barbara Davis,4.47,105068,4143
1730,The Power and the Glory,Graham Greene,3.98,40866,4142
1731,"Entwined with You (Crossfire, #3)",Sylvia Day,4.18,214457,4139
1732,"Shadow of Night (All Souls, #2)",Deborah Harkness,4.08,252046,4138
1733,Love and Other Words,Christina Lauren,4.25,661274,4134
1734,Steve Jobs,Walter Isaacson,4.15,1280362,4130
1735,Radio Silence,Alice Oseman,4.19,118181,4128
1736,Starter Villain,John Scalzi,4.15,58448,4127
1737,Service Model,Adrian Tchaikovsky,4.04,5938,4127
1738,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,4.12,356174,4125
1739,"A Thousand Boy Kisses (A Thousand Boy Kisses, #1)",Tillie Cole,4.06,364986,4116
1740,The Pandarus File,Kyle Keyes,4.31,6629,4114
1741,"The Young Elites (The Young Elites, #1)",Marie Lu,3.87,138803,4110
1742,"Off the Grid (Joe Pickett, #16)",C.J. Box,4.3,21346,4100
1743,"The Unholy Grave (The Lost Artefacts, #3)",Johnathon Nicolaou,4.51,284,4100
1744,My Year of Rest and Relaxation,Ottessa Moshfegh,3.63,453747,4099
1745,The Going To Bed Book,Sandra Boynton,4.24,29569,4097
1746,"The Eight (The Eight, #1)",Katherine Neville,3.93,44067,4094
1747,Marry Christmas,Linda Phillips,4.36,1108,4086
1748,"Gathering Blue (The Giver, #2)",Lois Lowry,3.82,197765,4085
1749,Dear Barack: The Extraordinary Partnership of Barack Obama and Angela Merkel,Claudia Clark,4.28,5935,4085
1750,"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,4.12,48813,4082
1751,"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,4.03,44947,4076
1752,"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,4.43,86225,4075
1753,"Four: A Divergent Story Collection (Divergent, #0.1-0.4)",Veronica Roth,3.95,237659,4072
1754,Honor and Polygamy,Omar Farhad,4.27,165,4071
1755,Women,Charles Bukowski,3.81,80882,4058
1756,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,4.08,139397,4053
1757,A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman,4.05,41923,4048
1758,Grendel,John Gardner,3.69,40190,4047
1760,"Complicate Me (The Good Ol' Boys, #1)",M. Robinson,4.01,10792,4046
1761,My Big Fat Zombie Goldfish,Mo O'Hara,3.89,2611,4033
1762,"Eragon, Eldest & Brisingr (Inheritance, #1-3)",Christopher Paolini,4.26,36392,4026
1763,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,3.69,495410,4021
1764,"The Lady of the Tower (The Lydiard Chronicles, #1)",Elizabeth St. John,4.18,1807,4019
1765,"The Painter's Apprentice (Venetian Artisans, #1)",Laura Morelli,4.05,1016,4013
1766,Yertle the Turtle and Other Stories,Dr. Seuss,4.15,35546,4004
1767,"Angels' Blood (Guild Hunter, #1)",Nalini Singh,4.07,94780,4000
1768,Ghost Story,Peter Straub,3.93,79983,3998
1769,Adhaata Asao's Liege,Afroz Alam,4.58,185,3998
1770,"The Alaska Job (Case Lee, #12)",Vince Milam,4.5,1792,3994
1771,"Lost Identity (Remmich/Miller, #1)",Karl Braungart,4.28,5979,3993
1772,The Sunne in Splendour,Sharon Kay Penman,4.4,22168,3989
1773,"King of Scars (King of Scars, #1)",Leigh Bardugo,4.16,213165,3985
1774,"Golden Son (Red Rising Saga, #2)",Pierce Brown,4.47,313657,3976
1775,"Tomorrow, When the War Began (Tomorrow, #1)",John Marsden,4.04,57744,3976
1776,"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,4.39,197456,3976
1777,"The Magicians' Guild (Black Magician Trilogy, #1)",Trudi Canavan,3.95,86677,3975
1778,"Blood Bound (Mercy Thompson, #2)",Patricia Briggs,4.3,131366,3969
1779,The Hating Game,Sally Thorne,3.88,755070,3969
1780,"The Cheat Code (Wisdom Revolution, #3)",Misba,4.74,3734,3964
1781,"Lirael (Abhorsen, #2)",Garth Nix,4.29,120886,3963
1782,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,3.9,165473,3963
1783,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,4.17,181178,3958
1784,"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""",Dave Pelzer,4.23,14224,3958
1785,Richard III,William Shakespeare,3.91,55354,3955
1786,"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,4.15,207727,3954
1787,"Quantum Roots (Quantum Roots, #1)",Kyle Keyes,4.27,3197,3954
1788,"Masquerade (Blue Bloods, #2)",Melissa de la Cruz,3.91,91635,3950
1789,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,4.14,63137,3949
1790,The Beach,Alex Garland,3.98,90503,3948
1791,Inside Out & Back Again,Thanhhà Lại,4.12,63376,3942
1792,Insomnia,Stephen King,3.83,159991,3934
1793,"Fang (Maximum Ride, #6)",James Patterson,4.05,62546,3934
1794,"Gabriel's Ghost (Dock Five Universe, #1)",Linnea Sinclair,3.73,4462,3931
1795,"Night World, No. 3 (Night World, #7-9)",L.J. Smith,4.2,66004,3927
1796,"Postmortem (Kay Scarpetta, #1)",Patricia Cornwell,4.03,247644,3926
1797,"Bone Crossed (Mercy Thompson, #4)",Patricia Briggs,4.34,112341,3925
1798,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.05,111514,3924
1799,"Hannibal (Hannibal Lecter, #3)",Thomas Harris,3.81,110359,3914
1800,"The High Lord (Black Magician Trilogy, #3)",Trudi Canavan,4.14,61032,3914
1801,"The Raven and the Nine (The Viking Blood and Blade Saga, #6)",Peter Gibbons,4.5,1391,3914
1802,"Die for Me (Revenants, #1)",Amy Plum,3.98,55648,3908
1803,Never,Ken Follett,4.09,62932,3903
1804,Master of the Game,Sidney Sheldon,4.14,58335,3902
1805,"Doomsday Book (Oxford Time Travel, #1)",Connie Willis,4.03,61505,3896
1806,"The Kill Order (The Maze Runner, #0.4)",James Dashner,3.71,237827,3893
1807,"The Alexandria Quartet (The Alexandria Quartet, #1-4)",Lawrence Durrell,4.17,12040,3889
1808,The Whalebone Theatre,Joanna Quinn,4.06,31385,3888
1809,"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,4.01,121835,3886
1810,"The Foxhole Court (All for the Game, #1)",Nora Sakavic,4.02,88977,3886
1811,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.03,116936,3885
1812,The Romantic,William Boyd,4.15,7516,3885
1813,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,3.98,289082,3871
1814,"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,3.99,129167,3869
1815,Antarctica Station,A.G. Riddle,4.02,9904,3866
1816,For the Love of Armin,Michael G. Kramer,4.3,1141,3859
1817,Sons and Lovers,D.H. Lawrence,3.64,54104,3858
1818,"Child 44 (Leo Demidov, #1)",Tom Rob Smith,4.1,86957,3854
1819,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,4.16,78509,3853
1820,Seasonable Doubt,Robin James,4.42,1976,3853
1821,"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley,3.84,77234,3849
1822,Quidditch Through the Ages,Kennilworthy Whisp,3.8,182326,3848
1823,Less Than Zero,Bret Easton Ellis,3.6,90307,3846
1824,"Bully (Fall Away, #1)",Penelope Douglas,3.86,210075,3842
1825,"The Emperor (The Emperor, the Son and the Thief, #1)",Robert Reid,4.3,5055,3841
1826,The Girl Who Loved Tom Gordon,Stephen King,3.63,167967,3836
1827,The Namatjira Connection (Genevieve Lenard #16),Estelle Ryan,4.37,967,3836
1828,"Lover Unleashed (Black Dagger Brotherhood, #9)",J.R. Ward,4.27,94894,3832
1829,Beyond Good and Evil,Friedrich Nietzsche,4.02,100675,3832
1830,"Succubus Blues (Georgina Kincaid, #1)",Richelle Mead,3.94,57521,3831
1831,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,1793652,3830
1832,"The Silence of the Girls (Women of Troy, #1)",Pat Barker,3.9,97758,3828
1833,The Complete Stories,Flannery O'Connor,4.39,39840,3827
1834,"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,4.35,159374,3826
1835,My Name Is Red,Orhan Pamuk,3.87,58047,3823
1836,Matterhorn,Karl Marlantes,4.26,44856,3820
1837,The Night Tiger,Yangsze Choo,3.86,62594,3820
1838,Out of Africa,Isak Dinesen,3.91,45283,3817
1839,"After (After, #1)",Anna Todd,3.72,346329,3816
1840,"Win (Windsor Horne Lockwood III, #1)",Harlan Coben,4.09,71811,3813
1841,Archibald Finch and the Lost Witches (Archibald Finch #1),Michel Guyon,4.08,566,3812
1842,The Source,James A. Michener,4.3,44153,3809
1843,Shrines of Gaiety,Kate Atkinson,3.85,37532,3809
1844,The Language of Flowers,Vanessa Diffenbaugh,4.09,225867,3805
1845,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.97,279619,3799
1846,Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,3.57,2010,3797
1847,"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,4.01,232614,3795
1848,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,4.1,209089,3786
1849,Demon Copperhead,Barbara Kingsolver,4.49,535404,3782
1850,"Smaragdgrün (Edelstein-Trilogie, #3)",Kerstin Gier,4.2,105280,3781
1851,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,3.8,194621,3778
1852,The Venice Sketchbook,Rhys Bowen,4.24,77852,3777
1853,"America's Daughter (Dancing Soul Trilogy, #2)",Maria Nhambu,4.3,7176,3773
1854,"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",Kathleen Zamboni McCormick,4.28,3935,3771
1855,Fire Prayers: Building Arsenals That Destroy Satanic Kingdoms,John Ramirez,4.29,4989,3770
1856,"The Final Warning (Maximum Ride, #4)",James Patterson,3.85,72472,3769
1857,Ana Rocha: Shadows of Justice,Ammar Habib,4.24,5515,3764
1858,"The Past (VanWest, #1)",Kenneth Thomas,3.92,796,3761
1859,Portnoy’s Complaint,Philip Roth,3.7,70097,3760
1860,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.75,206406,3755
1861,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,4.01,391392,3752
1862,The Southern Lawyer (Joe Hennessy Legal Thriller #1),Peter O'Mahoney,4.23,20875,3751
1863,Bossypants,Tina Fey,3.96,1023659,3750
1864,Forty-Ninth,Boris Pronsky,4.26,117,3748
1865,"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,4.34,8948,3747
1866,The Demigod Files,Rick Riordan,4.02,116152,3738
1867,"Demonglass (Hex Hall, #2)",Rachel Hawkins,4.08,93795,3735
1868,"Moloka'i (Moloka'i, #1)",Alan Brennert,4.2,134062,3729
1869,Red Storm Rising,Tom Clancy,4.2,81747,3727
1870,Medea,Euripides,3.94,79740,3719
1871,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",Sophocles,3.99,68453,3718
1872,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.1,237735,3716
1873,People We Meet on Vacation,Emily Henry,3.86,1305420,3713
1874,Tales Of Old: Greek Mythology Volume 2,Johnathon Nicolaou,4.27,160,3712
1875,"The King of Attolia (The Queen's Thief, #3)",Megan Whalen Turner,4.38,41477,3711
1876,"The Survival Rule (Rain City Legal, #3)",Stephen Penner,4.19,2863,3696
1877,The Lottery and Other Stories,Shirley Jackson,4.03,79952,3692
1878,"World After (Penryn & the End of Days, #2)",Susan Ee,4.14,105407,3679
1879,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,4.27,705779,3671
1880,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.96,108285,3670
1881,The Age of AI and Our Human Future,Henry Kissinger,3.46,4213,3669
1882,"The Screaming Staircase (Lockwood & Co., #1)",Jonathan Stroud,4.24,67703,3664
1883,"Hunt Them Down (Pierce Hunt, #1)",Simon Gervais,4.26,10736,3664
1884,"One Last Kill (Tracy Crosswhite, #10)",Robert Dugoni,4.48,20223,3661
1885,"War and Remembrance (The Henry Family, #2)",Herman Wouk,4.43,37967,3659
1886,White Nights,Fyodor Dostoevsky,4.07,202576,3657
1887,Toe to Toe (Nonie Broussard Ghost Tracker Series),Deborah Leblanc,4.22,5656,3643
1888,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.65,136089,3641
1889,Pompeii: A Novel,Robert Harris,3.87,48097,3641
1890,"Hell's Corner (The Camel Club, #5)",David Baldacci,4.18,41915,3630
1891,"Lady, in Waiting (The Tudor Court #3)",Karen Heenan,4.36,574,3628
1892,Katherine,Anya Seton,4.2,34223,3624
1893,The Collected Poems of W.B. Yeats,W.B. Yeats,4.23,39206,3620
1894,"Crossroads and the Himalayan Crystals (Crossroads, #1)",C. Toni Graham,4.33,11037,3618
1895,NOS4A2,Joe Hill,4.08,133262,3617
1896,L'Écume des jours,Boris Vian,3.93,39125,3617
1897,The Savage Detectives,Roberto Bolaño,4.17,46457,3609
1898,"The Nowhere Man (Orphan X, #2)",Gregg Andrew Hurwitz,4.15,28444,3608
1899,"Soulless (Parasol Protectorate, #1)",Gail Carriger,3.9,112048,3602
1900,Table 21,T. Rafael Cimino,3.69,443,3591
1901,"Paranormalcy (Paranormalcy, #1)",Kiersten White,3.88,98881,3586
1902,Suttree,Cormac McCarthy,4.2,25082,3586
1903,"Dead in the Family (Sookie Stackhouse, #10)",Charlaine Harris,3.9,166557,3585
1904,Credence,Penelope Douglas,3.68,414430,3584
1905,The House on Mango Street,Sandra Cisneros,3.69,203880,3583
1906,"Lord of Misrule (The Morganville Vampires, #5)",Rachel Caine,4.15,48302,3577
1907,Nobody Loves a Bigfoot Like a Bigfoot Babe,Simon Okill,3.95,145,3576
1908,About a Boy,Nick Hornby,3.8,138112,3576
1909,"Abhorsen (Abhorsen, #3)",Garth Nix,4.24,125656,3572
1910,Eye of the Needle,Ken Follett,4.21,161031,3570
1911,In Search of Lost Time,Marcel Proust,4.34,13101,3568
1912,"Midnight Alley (The Morganville Vampires, #3)",Rachel Caine,4.09,61225,3565
1913,Dark State (Jason Trapp #1),Jack Slater,4.43,15829,3565
1914,Search and Destroy (Tom Rollins Thriller #10),Paul Heatley,4.46,2481,3564
1915,Switch! The Lost Kingdoms of Karibu,Karen Prince,4.17,509,3563
1916,"This Man (This Man, #1)",Jodi Ellen Malpas,4.05,115464,3561
1917,"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,4.18,533291,3558
1918,The Man Without A Face (Peter Black #2),David Archer,4.39,4424,3556
1919,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,3.81,72631,3553
1921,"Neverseen (Keeper of the Lost Cities, #4)",Shannon Messenger,4.58,47577,3550
1922,Blackbird (Hart's Ridge #9),Kay Bratt,4.57,2184,3550
1923,"Beautiful Bastard (Beautiful Bastard, #1)",Christina Lauren,3.91,213189,3546
1924,The Assassin's Betrayal (Jason Drake #1),Auston King,4.3,4309,3545
1926,"Swift Judgment (Nate Shepherd, #7)",Michael Stagg,4.42,2372,3544
1927,Savage Grounds (Dalton Savage #1),L.T. Ryan,4.26,6894,3542
1928,"Deep Sleep (Devin Gray, #1)",Steven Konkoly,4.08,12666,3541
1929,The Last Temptation of Christ,Nikos Kazantzakis,4.18,14788,3539
1930,"The Testing (The Testing, #1)",Joelle Charbonneau,4.05,78077,3537
1931,"Opposition (Lux, #5)",Jennifer L. Armentrout,4.33,86938,3536
1932,Post Office,Charles Bukowski,3.93,130335,3530
1933,The Locked Door,Freida McFadden,4.03,376478,3530
1934,"The Power of Six (Lorien Legacies, #2)",Pittacus Lore,4.14,138887,3528
1935,"Open Season (Breed Thriller, #2)",Cameron Curtis,4.45,3638,3527
1936,"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter,4.05,84929,3525
1937,Coma,Robin Cook,3.88,52230,3521
1938,Oil and Marble,Stephanie Storey,4.08,10573,3517
1939,Move to Millions: The Proven Framework to Become a Million Dollar CEO with Grace & Ease Instead of Hustle & Grind,Darnyelle Jervey Harmon,4.29,8529,3516
1940,"No Plan B (Jack Reacher, #27)",Lee Child,3.98,56704,3516
1941,"Torn (Trylle, #2)",Amanda Hocking,4.03,71134,3515
1942,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,3.74,1540425,3515
1943,This Side of Paradise,F. Scott Fitzgerald,3.64,76142,3505
1944,Intensity,Dean Koontz,4.04,88024,3504
1945,The Rum Diary,Hunter S. Thompson,3.84,62689,3499
1946,The Second Sex,Simone de Beauvoir,4.17,43435,3495
1947,"Exile (Keeper of the Lost Cities, #2)",Shannon Messenger,4.48,59538,3491
1948,"The Great Book of Amber (The Chronicles of Amber, #1-10)",Roger Zelazny,4.31,26494,3489
1949,As a Man Thinketh,James Allen,4.25,88623,3486
1950,"Quicker (Ell Donsaii, #1)",Laurence E. Dahners,4.31,3548,3485
1951,Shadow's Siege (Shadow Island FBI Mystery Series Book 15),Mary Stone,4.59,3117,3485
1952,Book of a Thousand Days,Shannon Hale,3.97,55119,3475
1953,The Maid's Diary,Loreth Anne White,4.23,86519,3473
1954,2666,Roberto Bolaño,4.21,50023,3468
1955,My Dark Vanessa,Kate Elizabeth Russell,4.1,362683,3468
1956,"Wither (The Chemical Garden, #1)",Lauren DeStefano,3.8,100484,3467
1957,"On the Island (On the Island, #1)",Tracey Garvis Graves,4.11,85444,3464
1958,More Than This,Patrick Ness,3.95,67708,3457
1959,"Magic Strikes (Kate Daniels, #3)",Ilona Andrews,4.43,87804,3456
1960,The Last Run (Peter Black #6),David Archer,4.35,1942,3456
1961,The Alignment Problem: Machine Learning and Human Values,Brian Christian,4.36,3809,3455
1962,Second Son (Second Son Chronicles #1),Pamela Taylor,4.27,1526,3453
1963,Nicholas Nickleby,Charles Dickens,3.94,45385,3450
1964,"The Kiss of Deception (The Remnant Chronicles, #1)",Mary E. Pearson,3.93,147752,3450
1965,The Last Guardian (Clayton White #3),Simon Gervais,4.37,2477,3450
1966,"The Vampire Armand (The Vampire Chronicles, #6)",Anne Rice,3.8,71428,3448
1967,"Death Note, Vol. 1: Boredom (Death Note, #1)",Tsugumi Ohba,4.46,319884,3447
1968,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.21,188780,3447
1969,Suite Française,Irène Némirovsky,3.86,75648,3447
1970,"Rebel Angels (Gemma Doyle, #2)",Libba Bray,3.94,111238,3441
1971,The Girl Who Drank the Moon,Kelly Barnhill,4.12,104335,3440
1972,"National Security (Jericho Quinn, #1)",Marc Cameron,4.12,8531,3437
1973,Know My Name,Chanel Miller,4.7,218473,3433
1974,"Leviathan (Leviathan, #1)",Scott Westerfeld,3.92,93309,3428
1975,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.63,848058,3427
1976,The Cases Nobody Wanted (O'Shaughnessy Investigations Inc. Mystery Series Book 1),A.G. Russo,4.36,2116,3425
1977,"Messenger (The Giver, #3)",Lois Lowry,3.91,140775,3424
1978,Animal Dreams,Barbara Kingsolver,4.07,74565,3423
1979,"The Fiery Heart (Bloodlines, #4)",Richelle Mead,4.34,78102,3421
1980,Long Day’s Journey into Night,Eugene O'Neill,4.05,41561,3420
1981,Her Name Is Knight (Nena Knight #1),Yasmin Angoe,4.32,12716,3418
1982,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,3.96,128557,3415
1983,"Wool Omnibus (Silo, #1)",Hugh Howey,4.22,226202,3413
1984,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Carrie Ryan,3.6,86412,3411
1985,"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.95,101843,3411
1986,"Firelight (Firelight, #1)",Sophie Jordan,3.84,68914,3400
1987,Journey to the West: A Long March from Eastern Dream to Western Reality,Biao Wang,4.3,143,3400
1988,Black Hawk Down: A Story of Modern War,Mark Bowden,4.3,65898,3398
1989,"Bird Box (Bird Box, #1)",Josh Malerman,4.04,196765,3398
1990,Atlas Shrugged & The Fountainhead,Ayn Rand,4.1,4929,3396
1991,Life for Life (Talion #3),J.K. Franko,4.38,1378,3396
1992,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,3.65,193250,3394
1993,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,4.11,233921,3389
1994,"Never Fade (The Darkest Minds, #2)",Alexandra Bracken,4.2,100805,3385
1995,Child of Another Kind,Steven Decker,4.29,6083,3382
1996,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.87,105783,3381
1997,The Illuminatus! Trilogy,Robert Shea,4.01,15860,3378
1998,The End of Eternity,Isaac Asimov,4.24,58236,3376
1999,Infinite,Brian Freeman,4.04,12483,3375
2000,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,4.12,246051,3370
2001,"Oath of Loyalty (Mitch Rapp, #21)",Kyle Mills,4.48,21868,3370
2002,If He Had Been With Me (If He Had Been with Me #1),Laura Nowlin,3.8,432199,3369
2003,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.61,988001,3369
2004,Sliding on the Snow Stone,Andy Szpuk,3.7,1215,3368
2005,"The Physician (Cole Family Trilogy, #1)",Noah Gordon,4.41,54006,3368
2006,"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",Max Solomon Bennett,4.45,1591,3368
2007,The Postman Always Rings Twice,James M. Cain,3.77,45060,3366
2008,"Skyward (Skyward, #1)",Brandon Sanderson,4.47,148778,3366
2009,The Kitchen House,Kathleen Grissom,4.22,284002,3365
2010,My Life Next Door,Huntley Fitzpatrick,3.97,153830,3365
2011,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,3.95,262859,3365
2012,"Feast of Fools (The Morganville Vampires, #4)",Rachel Caine,4.15,54255,3361
2013,The Coworker,Freida McFadden,3.78,340528,3361
2014,The Right Stuff,Tom Wolfe,4.23,53604,3358
2015,One Last Stop,Casey McQuiston,3.92,254041,3348
2016,"Heist Society (Heist Society, #1)",Ally Carter,3.92,93982,3343
2017,Night Owl (Trasker #1),Andrew Mayne,4.17,12448,3343
2018,"Persepolis Rising (The Expanse, #7)",James S.A. Corey,4.37,75963,3342
2019,Burning Evidence: A Legal Thriller filled with Gripping Courtroom Drama (Small Town Lawyer Book 4),Peter Kirkland,4.3,1325,3339
2020,Chasing the Dragon: BY NEW BLOOD DAGGER AND SCOTTISH CRIME DEBUT SHORTLISTED AUTHOR (Betancourt Mystery Series Book 2),Mark Wightman,4.25,575,3337
2021,Let the Great World Spin,Colum McCann,3.95,106702,3333
2022,Percy Jackson's Greek Gods,Rick Riordan,4.44,87989,3333
2023,Tier One (Tier One #1),Brian Andrews,4.13,14349,3332
2024,A Day of Reckoning (A Time for Swords 3),Matthew Harffy,4.36,824,3332
2025,The Sense of an Ending,Julian Barnes,3.74,183411,3327
2026,The Scopas Factor,Vincent Panettiere,4.34,544,3327
2027,When You Reach Me,Rebecca Stead,4.08,112820,3326
2028,"Twisted Games (Twisted, #2)",Ana Huang,4.1,763282,3326
2029,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,4.34,462434,3325
2030,Drowning,T.J. Newman,4.16,46611,3325
2031,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,4.15,116311,3324
2032,Being and Time,Martin Heidegger,4.05,25684,3318
2033,"The Snowman (Harry Hole, #7)",Jo Nesbø,4.02,142968,3315
2034,Tigana,Guy Gavriel Kay,4.08,49548,3313
2035,Diary,Chuck Palahniuk,3.65,79313,3313
2036,"La Vérité sur l'Affaire Harry Quebert (Marcus Goldman, #1)",Joël Dicker,4.19,191163,3311
2037,"Good Night, Mr. Tom",Michelle Magorian,4.31,50649,3310
2038,Murder in the Family,Cara Hunter,3.74,40478,3309
2039,"Origin (Robert Langdon, #5)",Dan Brown,3.89,335274,3308
2040,"Tatiana and Alexander (The Bronze Horseman, #2)",Paullina Simons,4.28,44701,3306
2041,"Blue Lily, Lily Blue (The Raven Cycle, #3)",Maggie Stiefvater,4.26,170615,3292
2042,Chasing the Red Queen,Karen Glista,4.2,950,3292
2043,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,187970,3291
2044,"Ringworld (Ringworld, #1)",Larry Niven,3.94,124157,3288
2045,"Carpe Corpus (The Morganville Vampires, #6)",Rachel Caine,4.2,49463,3288
2046,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,3.85,89226,3285
2047,"Twisted Love (Twisted, #1)",Ana Huang,3.72,1133768,3283
2048,Dislocated (Mad Mick #10),Franklin Horton,4.62,1119,3283
2049,The Testament,John Grisham,3.91,121480,3281
2050,"Noble House (Asian Saga, #5)",James Clavell,4.27,41126,3281
2051,"Hild (The Hild Sequence, #1)",Nicola Griffith,3.84,12020,3279
2052,Lightning,Dean Koontz,4.09,63558,3274
2053,"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,3.9,35591,3273
2054,"Stargazer (Evernight, #2)",Claudia Gray,3.79,57010,3272
2055,"Ascend (Trylle, #3)",Amanda Hocking,4.08,65331,3269
2056,Sputnik Sweetheart,Haruki Murakami,3.83,165871,3269
2057,Tom Clancy Weapons Grade,Don Bentley,4.34,5797,3266
2058,A Team of One: An Unsanctioned Asset Thriller (The Unsanctioned Asset Series Book 1),Brad Lee,4.57,3989,3264
2059,We Should All Be Feminists,Chimamanda Ngozi Adichie,4.4,304062,3259
