Index,Book Name,Author,Rating,Number of Votes,Score
91,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1556298,317147
92,"The Shining (The Shining, #1)",Stephen King,4.27,1557243,315121
93,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,658785,311997
94,Siddhartha,Hermann Hesse,4.07,801382,311259
95,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,639163,306308
96,The Complete Stories and Poems,Edgar Allan Poe,4.4,281053,305232
97,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,610082,301210
98,Don Quixote,Miguel de Cervantes Saavedra,3.9,282142,297574
99,The Old Man and the Sea,Ernest Hemingway,3.8,1199762,293979
100,The Poisonwood Bible,Barbara Kingsolver,4.1,759763,291254
101,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,3852840,284170
102,Atlas Shrugged,Ayn Rand,3.69,395675,259783
103,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.15,1742501,258851
104,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,470942,253483
105,Fahrenheit 451,Ray Bradbury,3.96,2529995,249219
106,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3396543,241045
107,"Moby-Dick or, The Whale",Herman Melville,3.55,578411,229215
108,A Prayer for Owen Meany,John Irving,4.24,326272,220219
109,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,847084,199215
110,The Stranger,Albert Camus,4.03,1179624,197339
111,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4104938,191515
112,The Secret Life of Bees,Sue Monk Kidd,4.09,1313448,189016
113,The Red Tent,Anita Diamant,4.2,610077,185694
114,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,1001032,181785
115,The Metamorphosis,Franz Kafka,3.88,1196445,178396
116,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,4156783,177493
117,The Master and Margarita,Mikhail Bulgakov,4.29,373532,176723
118,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.95,1830578,163640
119,The Count of Monte Cristo,Alexandre Dumas,4.31,943744,162540
120,Looking for Alaska,John Green,3.96,1652880,161512
121,Middlesex,Jeffrey Eugenides,4.03,647998,161115
122,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,1055876,160254
123,The Very Hungry Caterpillar,Eric Carle,4.33,521879,159598
124,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,874193,158909
125,The Adventures of Tom Sawyer,Mark Twain,3.92,960852,158838
126,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1516036,154346
127,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,2894952,153937
128,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.3,661964,153689
129,Tuesdays with Morrie,Mitch Albom,4.18,1074275,151280
130,The Unbearable Lightness of Being,Milan Kundera,4.11,494188,148420
131,On the Road,Jack Kerouac,3.61,422200,146651
132,The Name of the Rose,Umberto Eco,4.14,374278,146556
134,"The Godfather (The Godfather, #1)",Mario Puzo,4.39,434210,143181
135,Where the Red Fern Grows,Wilson Rawls,4.12,417703,143163
136,A Story of Yesterday,Sergio Cobo,4.56,13653,141900
137,Perfume: The Story of a Murderer,Patrick Süskind,4.04,495030,140870
138,In Cold Blood,Truman Capote,4.09,681607,140860
139,The Scarlet Letter,Nathaniel Hawthorne,3.43,881603,138651
140,American Gods,Neil Gaiman,4.11,957751,137492
141,Fight Club,Chuck Palahniuk,4.18,609187,137391
142,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.48,1017156,134969
144,The Divine Comedy,Dante Alighieri,4.08,158712,132079
145,Watchmen,Alan Moore,4.38,569895,131486
146,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.19,554957,131303
147,All Quiet on the Western Front,Erich Maria Remarque,4.08,477645,129951
148,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.26,779475,128269
149,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,718955,127625
150,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.35,154611,127457
151,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.54,203595,126868
152,Peter Pan,J.M. Barrie,4.04,355303,123106
153,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.33,3733240,118667
154,Love in the Time of Cholera,Gabriel García Márquez,3.94,517410,115340
155,The Addiction Manifesto,Jerry Weaver,4.8,1203,115064
156,"Insurgent (Divergent, #2)",Veronica Roth,3.97,1542677,114572
157,"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,1113791,114565
158,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,1133575,113865
159,A Walk to Remember,Nicholas Sparks,4.2,820762,112956
160,The Thorn Birds,Colleen McCullough,4.25,355242,111050
161,The Song of Achilles,Madeline Miller,4.32,1647639,110074
162,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.56,456591,109944
163,How the Grinch Stole Christmas!,Dr. Seuss,4.38,423470,109770
164,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1239242,109752
165,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.44,9542,108822
166,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,328726,108470
167,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33,371729,108366
168,Their Eyes Were Watching God,Zora Neale Hurston,3.98,359322,108060
169,The Secret History,Donna Tartt,4.17,830772,106934
170,The Importance of Being Earnest,Oscar Wilde,4.17,380824,106508
171,"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1576374,106196
172,Atonement,Ian McEwan,3.94,533828,105929
174,The Three Musketeers,Alexandre Dumas,4.09,332790,104666
175,"Eat, Pray, Love",Elizabeth Gilbert,3.63,1777847,104009
176,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,1793652,103717
177,The Lorax,Dr. Seuss,4.35,351592,103356
178,Goodnight Moon,Margaret Wise Brown,4.31,380858,102449
179,The Haunting of Hill House,Shirley Jackson,3.82,332119,100895
180,A Midsummer Night’s Dream,William Shakespeare,3.94,552713,98958
181,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.65,2391993,98715
182,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.49,225691,98279
183,"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25,361796,97630
184,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,656583,96920
185,Bridge to Terabithia,Katherine Paterson,4.05,560631,96204
186,Heart of Darkness,Joseph Conrad,3.43,526265,95780
187,Tess of the D’Urbervilles,Thomas Hardy,3.83,290253,95334
188,The Prophet,Kahlil Gibran,4.23,308301,93401
189,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.25,941762,92834
190,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.3,318460,92552
191,"The Selection (The Selection, #1)",Kiera Cass,4.08,1625106,92302
192,The Call of the Wild,Jack London,3.91,443413,92197
193,The Night Circus,Erin Morgenstern,4.01,1017716,91906
194,"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,253462,90899
195,Alice in Wonderland,Jane Carruth,4.03,392732,90754
196,The Joy Luck Club,Amy Tan,3.97,692195,90493
197,"The Silence of the Lambs (Hannibal Lecter, #2)",Thomas Harris,4.25,561930,90475
198,The Phantom Tollbooth,Norton Juster,4.2,293627,90187
199,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,418232,89793
200,The Diary of a Young Girl,Anne Frank,4.19,3868545,88841
201,The Neverending Story,Michael Ende,4.18,207703,88828
202,Madame Bovary,Gustave Flaubert,3.7,346541,88637
