Index,Book Name,Author,Rating,Number of Votes,Score,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
19,the great gatsby,F. Scott Fitzgerald,3.93,5429599,1044482,9780684801520.0,0684801523,the great gatsby,,Francis Scott Fitzgerald,Computers,http://books.google.com/books/content?id=eaLjDeMV_WsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A young man newly rich tries to recapture the past and win back his former love, despite the fact she has married",1995.0,3.91,216.0,9677.0
19,the great gatsby,F. Scott Fitzgerald,3.93,5429599,1044482,9780891906797.0,0891906797,the great gatsby,,F. Scott Fitzgerald,Fiction,http://books.google.com/books/content?id=MXuJwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tells the story of a young man, newly rich, who tries to recapture the past and win back his former love, despite the fact that she has married",1925.0,3.91,182.0,151.0
20,"the da vinci code (robert langdon, #2)",Dan Brown,3.92,2405678,995482,,,,,,,,,,,,
21,crime and punishment,Fyodor Dostoevsky,4.27,950112,982615,9780679420293.0,0679420290,crime and punishment,,Fyodor Dostoyevsky,Fiction,http://books.google.com/books/content?id=hG5P6jrzJLAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A man must endure relentless physical and mental punishments as retribution for his act of murder,1993.0,4.2,564.0,6890.0
21,crime and punishment,Fyodor Dostoevsky,4.27,950112,982615,9780679734505.0,0679734503,crime and punishment,A Novel in Six Parts with Epilogue,Fyodor Dostoyevsky,Fiction,http://books.google.com/books/content?id=PJTlydN3Mf0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A man must endure relentless physical and metal punishments as retribution for his act of murder,1993.0,4.2,564.0,7163.0
21,crime and punishment,Fyodor Dostoevsky,4.27,950112,982615,9781101487556.0,1101487550,crime and punishment,,Fyodor Dostoyevsky,Fiction,http://books.google.com/books/content?id=ROi0n7azQwUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Raskolnikov, a destitute and desperate former student, commits a random murder without remorse or regret, imagining himself to be a great man far above moral law. But as he embarks on a dangerous cat-and-mouse game with a suspicious police investigator, his own conscience begins to torment him and he seeks sympathy and redemption from Sonya, a downtrodden prostitute. Translated with an Introduction and Notes by David McDuff",2002.0,,,
22,alice’s adventures in wonderland / through the looking-glass,Lewis Carroll,4.06,578723,971045,,,,,,,,,,,,
23,"divergent (divergent, #1)",Veronica Roth,4.14,4110627,959986,,,,,,,,,,,,
24,memoirs of a geisha,Arthur Golden,4.15,2037551,945954,,,,,,,,,,,,
25,les misérables,Victor Hugo,4.21,811789,932748,,,,,,,,,,,,
26,the alchemist,Paulo Coelho,3.91,3210067,923112,9780061122415.0,0061122416,the alchemist,,Paulo Coelho,Fiction,http://books.google.com/books/content?id=pTr44Sx6oWQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" Every few decades a book is published that changes the lives of its readers forever. The Alchemist is such a book. With over a million and a half copies sold around the world, The Alchemist has already established itself as a modern classic, universally admired. Paulo Coelho's charming fable, now available in English for the first time, will enchant and inspire an even wider audience of readers for generations to come. The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. From his home in Spain he journeys to the markets of Tangiers and across the Egyptian desert to a fateful encounter with the alchemist. The story of the treasures Santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams.",2006.0,3.85,197.0,1592632.0
27,lord of the flies,William Golding,3.7,2991952,905864,9780140283334.0,0140283331,lord of the flies,,William Golding,Fiction,,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island,1999.0,3.67,182.0,1861140.0
27,lord of the flies,William Golding,3.7,2991952,905864,9780399529207.0,0399529209,lord of the flies,,William Golding,Fiction,http://books.google.com/books/content?id=3KRdJZbAN_sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The classical study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island.,2003.0,3.67,336.0,1122.0
