Index,Book Name,Author,Rating,Number of Votes,Score,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
540,the woman in white,Wilkie Collins,4.01,158092,20282,9781551116440.0,1551116448,the woman in white,,Wilkie Collins,Fiction,http://books.google.com/books/content?id=VcVgyYHd3OMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"As the inscription on his tombstone reveals, Wilkie Collins wanted to be remembered as the “author of The Woman in White,” for it was this novel that secured his reputation during his lifetime. The novel begins with a drawing teacher’s eerie late-night encounter with a mysterious woman in white, and then follows his love for Laura Fairlie, a young woman who is falsely incarcerated in an asylum by her husband, Sir Percival Glyde, and his sinister accomplice, Count Fosco. This edition returns to the original text that galvanized England when it was published in serial form in All the Year Round magazine in 1860. Three different prefaces Collins wrote for the novel, as well as two of his essays on the book’s composition, are reprinted, along with nine illustrations. The appendices include contemporary reviews, along with essays on lunacy, asylums, mesmerism, and the rights of women.",2006.0,3.99,696.0,118.0
541,those empty eyes,Charlie Donlea,4.19,45528,20136,,,,,,,,,,,,
542,"the two towers (the lord of the rings, #2)",J.R.R. Tolkien,4.49,1016511,20093,,,,,,,,,,,,
543,the complete poems of emily dickinson,Emily Dickinson,4.28,100959,20066,,,,,,,,,,,,
544,what lies in the woods,Kate Alice Marshall,3.96,152375,20058,,,,,,,,,,,,
545,world war z: an oral history of the zombie war,Max Brooks,4.02,539459,19978,,,,,,,,,,,,
546,"chosen (house of night, #3)",P.C. Cast,3.91,248624,19899,,,,,,,,,,,,
547,sense and sensibility,Jane Austen,4.09,1226963,19882,9780393977516.0,039397751X,sense and sensibility,"Authoritative Text, Contexts, Criticism",Jane Austen,Fiction,,"Two sisters are drawn into unhappy romances despite the cool judgment of one and the emotional intensity of the other in this nineteenth-century novel that is accompanied by related writings, annotations, and criticisms.",2002.0,4.07,269.0,740.0
547,sense and sensibility,Jane Austen,4.09,1226963,19882,9781593080495.0,1593080492,sense and sensibility,,Jane Austen,Fiction,http://books.google.com/books/content?id=PTUH6Zg2QQYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Romantic walks through lush Devonshire and genteel dinner parties at a stately manor draw two pretty sisters into the schemes and manipulations of landed gentry determined to marry wisely and well.,2003.0,4.07,336.0,636.0
547,sense and sensibility,Jane Austen,4.09,1226963,19882,9781593081256.0,1593081251,sense and sensibility,,Jane Austen,Fiction,http://books.google.com/books/content?id=yhiJVxesrWwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Two sisters, one practical and conventional and the other emotional and sentimental, find that only through compromise of their mutual differences can they get along.",2004.0,4.07,325.0,1199.0
548,انتحار فاشل,أحمد جمال الدين رمضان,4.56,3177,19843,,,,,,,,,,,,
549,"a discovery of witches (all souls, #1)",Deborah Harkness,4.02,514411,19796,,,,,,,,,,,,
550,ugly love,Colleen Hoover,4.03,2020971,19727,,,,,,,,,,,,
551,north and south,Elizabeth Gaskell,4.15,174114,19722,,,,,,,,,,,,
552,the god delusion,Richard Dawkins,3.9,272808,19697,,,,,,,,,,,,
553,"unwind (unwind, #1)",Neal Shusterman,4.17,236592,19663,,,,,,,,,,,,
555,العصبي,أحمد جمال الدين رمضان,4.61,2779,19452,,,,,,,,,,,,
556,of human bondage,W. Somerset Maugham,4.15,58554,19443,,,,,,,,,,,,
557,"the witching hour (lives of the mayfair witches, #1)",Anne Rice,4.1,119942,19438,,,,,,,,,,,,
558,"unravel me (shatter me, #2)",Tahereh Mafi,4.13,616483,19313,,,,,,,,,,,,
559,"words of radiance (the stormlight archive, #2)",Brandon Sanderson,4.76,389065,19179,,,,,,,,,,,,
560,"bloodlines (bloodlines, #1)",Richelle Mead,4.2,187954,19052,,,,,,,,,,,,
561,"the iron king (the iron fey, #1)",Julie Kagawa,3.88,215123,19036,,,,,,,,,,,,
562,"shadow and bone (the shadow and bone trilogy, #1)",Leigh Bardugo,3.93,1001607,18922,,,,,,,,,,,,
563,the left hand of darkness,Ursula K. Le Guin,4.1,193762,18820,,,,,,,,,,,,
564,"2001: a space odyssey (space odyssey, #1)",Arthur C. Clarke,4.17,320987,18770,,,,,,,,,,,,
565,snow crash,Neal Stephenson,4.02,286273,18764,9780553380958.0,0553380958,snow crash,,Neal Stephenson,Fiction,http://books.google.com/books/content?id=mqpvVydYo-8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In twenty-first-century America, a teenaged computer hacker finds himself fighting a computer virus that battles virtual reality technology and a deadly drug that turns humans into zombies.",2000.0,4.03,438.0,187493.0
566,macbeth,William Shakespeare,3.89,933929,18749,9780198321460.0,0198321465,macbeth,,William Shakespeare,Juvenile Nonfiction,http://books.google.com/books/content?id=Accmh8KVG4gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Critical and historical notes accompany Shakespeare's drama of murder, political ambition, and the persistence of guilt.",2004.0,3.89,160.0,150.0
566,macbeth,William Shakespeare,3.89,933929,18749,9780743477109.0,0743477103,macbeth,,William Shakespeare,Drama,http://books.google.com/books/content?id=wemvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater.",2003.0,3.89,246.0,560816.0
566,macbeth,William Shakespeare,3.89,933929,18749,9780743482790.0,0743482794,macbeth,,William Shakespeare;Dr. Barbara A. Mowat;Paul Werstine,Drama,http://books.google.com/books/content?id=HysVAjLGOC0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Macbeth: The DVD Edition includes everything you've come to expect from the Folger Shakespeare Library editions of Shakespeare's plays -- facing-page explanatory notes, scene-by-scene plot summaries, illustrations from the Folger archives -- combined here with a bonus DVD of a performance of Macbeth recorded before a rapt audience in the Folger's intimate Elizabethan Theatre. Conceived and directed by Teller (of Penn & Teller) and Aaron Posner, this acclaimed production showcases the inventive magic of Teller, who, with Posner, contributes a new foreword to this edition, writing about their vision of the play as a ""supernatural horror thriller."" Macbeth: The DVD Edition is the perfect volume for those encountering the play for the first time and for those finding brilliant new insights into a classic. THIS DVD EDITION INCLUDES: • DVD of the 2008 Folger Theatre/Two River Theater Company production -- with over 50 minutes of special features, including interviews with the directors, actors, designers, and scholars • Foreword by directors Teller and Aaron Posner on the staging of Macbeth • Freshly edited text based on the 1623 First Folio • Full explanatory notes conveniently placed on pages facing the text of the play • A key to the play's famous lines and phrases • An introduction to reading Shakespeare's language in Macbeth • Illustrations from the Folger Shakespeare Library's vast holdings of rare books • An essay by Susan Snyder that provides a modern perspective on the play",2004.0,3.89,272.0,503.0
566,macbeth,William Shakespeare,3.89,933929,18749,9781579126216.0,1579126219,macbeth,,William Shakespeare,Comics & Graphic Novels,http://books.google.com/books/content?id=e4qgOQK0C8oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Presents Shakespeare's tragedy of prophecy and royal murder in medieval Scotland in graphic novel format.,2006.0,3.99,96.0,8.0
567,"wizard's first rule (sword of truth, #1)",Terry Goodkind,4.12,249035,18744,,,,,,,,,,,,
568,johnny got his gun,Dalton Trumbo,4.2,45379,18671,,,,,,,,,,,,
569,vanity fair,William Makepeace Thackeray,3.8,129945,18612,9780141439839.0,0141439831,vanity fair,A Novel Without a Hero,William Makepeace Thackeray,Fiction,http://books.google.com/books/content?id=NjBcVtXEeSoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Edited by John Carey.,2003.0,3.78,867.0,100384.0
570,"the wicked king (the folk of the air, #2)",Holly Black,4.29,869988,18509,,,,,,,,,,,,
571,far from the madding crowd,Thomas Hardy,3.96,157524,18327,9780140620474.0,0140620478,far from the madding crowd,,Thomas Hardy,England,http://books.google.com/books/content?id=6K8FZuDtHkUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in Wessex, Hardy’s novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships.",1994.0,3.94,374.0,312.0
572,much ado about nothing,William Shakespeare,4.06,249243,18291,9780198321477.0,0198321473,much ado about nothing,,William Shakespeare,Juvenile Nonfiction,http://books.google.com/books/content?id=gHxbbwhmFhcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Depicts the humorous mishaps which follow when young Claudio is duped into believing his fiancee has been unfaithful.,2004.0,4.06,160.0,37.0
573,"bared to you (crossfire, #1)",Sylvia Day,4.14,535966,18269,,,,,,,,,,,,
574,shutter island,Dennis Lehane,4.12,202693,18173,9780380731862.0,038073186X,shutter island,,Dennis Lehane,Fiction,http://books.google.com/books/content?id=WZrQjhses-YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"U.S. Marshal Teddy Daniels and his partner, Chuck Aule, come to Shutter Island's Ashecliffe Hospital in search of an escaped mental patient, but uncover true wickedness as Ashecliffe's mysterious patient treatments propel them to the brink of insanity.",2004.0,4.09,369.0,128927.0
575,"torment (fallen, #2)",Lauren Kate,3.84,238624,18131,,,,,,,,,,,,
576,a monster calls,Patrick Ness,4.35,273310,18117,,,,,,,,,,,,
577,"cry, the beloved country",Alan Paton,3.92,76187,18102,9780099766810.0,0099766817,"cry, the beloved country",,Alan Paton,Classical fiction,http://books.google.com/books/content?id=bHxyrMfxzwUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Cry the Beloved Country is the deeply moving story of the Zulu pastor Stephen Kumalo and his son Absalom, set against the background of a land and a people riven by racial injustice. Remarkable for its contemporaneity, unforgettable for character and incident, Cry the Beloved Country is a classic work of love and hope, courage and endurance, born of the dignity of man.",2002.0,3.89,240.0,729.0
577,"cry, the beloved country",Alan Paton,3.92,76187,18102,9780743262170.0,0743262174,"cry, the beloved country",,Alan Paton,Fiction,http://books.google.com/books/content?id=dSJ8gNyS-NMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An Oprah Book Club selection, Cry, the Beloved Country, the most famous and important novel in South Africa’s history, was an immediate worldwide bestseller in 1948. Alan Paton’s impassioned novel about a black man’s country under white man’s law is a work of searing beauty. Cry, the beloved country, for the unborn child that is the inheritor of our fear. Let him not love the earth too deeply. Let him not laugh too gladly when the water runs through his fingers, nor stand too silent when the setting sun makes red the veld with fire. Let him not be too moved when the birds of his land are singing, nor give too much of his heart to a mountain or valley. For fear will rob him of all if he gives too much. The eminent literary critic Lewis Gannett wrote, “We have had many novels from statesmen and reformers, almost all bad; many novels from poets, almost all thin. In Alan Paton’s Cry, the Beloved Country the statesman, the poet and the novelist meet in a unique harmony.” Cry, the Beloved Country is the deeply moving story of the Zulu pastor Stephen Kumalo and his son, Absalom, set against the background of a land and a people riven by racial injustice. Remarkable for its lyricism, unforgettable for character and incident, Cry, the Beloved Country is a classic work of love and hope, courage and endurance, born of the dignity of man.",1987.0,3.89,316.0,3035.0
578,"the queen of nothing (the folk of the air, #3)",Holly Black,4.35,783437,18077,,,,,,,,,,,,
579,dark places,Gillian Flynn,3.95,780165,18057,,,,,,,,,,,,
580,"cannery row (cannery row, #1)",John Steinbeck,4.06,142936,18027,,,,,,,,,,,,
581,are you my mother?,P.D. Eastman,4.21,246706,18019,,,,,,,,,,,,
582,"a great and terrible beauty (gemma doyle, #1)",Libba Bray,3.8,224203,17988,,,,,,,,,,,,
583,the polar express,Chris Van Allsburg,4.32,243220,17986,9780618611690.0,061861169X,the polar express,,Chris Van Allsburg,Juvenile Fiction,http://books.google.com/books/content?id=9946PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A magical train ride on Christmas Eve takes a boy to the North Pole to receive a special gift from Santa Claus, in a slip-cased gift edition of the holiday classic. A Caldecott Medal Book.",2005.0,4.3,32.0,83.0
584,sarah's key,Tatiana de Rosnay,4.18,481976,17968,,,,,,,,,,,,
585,into thin air: a personal account of the mt. everest disaster,Jon Krakauer,4.25,523564,17956,,,,,,,,,,,,
586,"perfect chemistry (perfect chemistry, #1)",Simone Elkeles,4.04,261398,17945,,,,,,,,,,,,
587,mystic river,Dennis Lehane,4.17,149373,17822,9780060584757.0,0060584750,mystic river,,Dennis Lehane,Fiction,http://books.google.com/books/content?id=2U-ivgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood. A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.",2003.0,4.18,416.0,105317.0
588,"anne of avonlea (anne of green gables, #2)",L.M. Montgomery,4.22,207699,17798,,,,,,,,,,,,
589,"little house on the prairie (little house, #3)",Laura Ingalls Wilder,4.21,294635,17716,,,,,,,,,,,,
590,just listen,Sarah Dessen,4.06,248625,17549,,,,,,,,,,,,
591,"the red pyramid (the kane chronicles, #1)",Rick Riordan,4.1,406398,17502,,,,,,,,,,,,
592,"empire of storms (throne of glass, #5)",Sarah J. Maas,4.63,848037,17474,,,,,,,,,,,,
593,cutting for stone,Abraham Verghese,4.32,401144,17429,,,,,,,,,,,,
594,"halfway to the grave (night huntress, #1)",Jeaniene Frost,4.13,160445,17408,,,,,,,,,,,,
595,"little house in the big woods (little house, #1)",Laura Ingalls Wilder,4.21,274823,17399,,,,,,,,,,,,
596,"the mortal instruments boxed set: city of bones; city of ashes; city of glass (the mortal instruments, #1-3)",Cassandra Clare,4.55,68530,17391,,,,,,,,,,,,
597,"the horse and his boy (chronicles of narnia, #5)",C.S. Lewis,3.91,365030,17391,,,,,,,,,,,,
598,i'll give you the sun,Jandy Nelson,4.16,343854,17380,,,,,,,,,,,,
599,the silent patient,Alex Michaelides,4.18,2534669,17350,,,,,,,,,,,,
600,"chocolat (chocolat, #1)",Joanne Harris,3.96,127614,17340,,,,,,,,,,,,
601,"call me by your name (call me by your name, #1)",André Aciman,4.1,529087,17312,,,,,,,,,,,,
602,"sabriel (abhorsen, #1)",Garth Nix,4.17,212021,17306,,,,,,,,,,,,
603,"the summoning (darkest powers, #1)",Kelley Armstrong,4.02,173964,17287,,,,,,,,,,,,
604,"hyperion (hyperion cantos, #1)",Dan Simmons,4.27,266745,17278,,,,,,,,,,,,
605,"angelfall (penryn & the end of days, #1)",Susan Ee,4.11,193807,17246,,,,,,,,,,,,
606,no country for old men,Cormac McCarthy,4.16,214006,17229,9780375706677.0,0375706674,no country for old men,,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=Q8zM_BuvaroC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Stumbling upon a bloody massacre, a cache of heroin, and more than two million in cash during a hunting trip, Llewelyn Moss removes the money, a decision that draws him and his young wife into the middle of a violent confrontation.",2006.0,4.13,309.0,114408.0
607,taming flame,Therisa Peimer,4.3,17191,17183,,,,,,,,,,,,
608,the last lecture,Randy Pausch,4.26,351955,17178,,,,,,,,,,,,
609,daisy jones & the six,Taylor Jenkins Reid,4.2,1623586,17117,,,,,,,,,,,,
610,"silence (hush, hush, #3)",Becca Fitzpatrick,4.07,287658,17071,,,,,,,,,,,,
611,"the darkest minds (the darkest minds, #1)",Alexandra Bracken,4.16,197540,17046,,,,,,,,,,,,
612,three cups of tea: one man's mission to promote peace ... one school at a time,Greg Mortenson,3.66,358483,17039,,,,,,,,,,,,
613,twelfth night,William Shakespeare,3.96,188163,16996,9780743482776.0,0743482778,twelfth night,,William Shakespeare,Drama,http://books.google.com/books/content?id=auH_ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Background information about Shakespeare, Elizabethan theater, and the text accompany his play about unrequited love and mistaken identity.",2004.0,3.98,220.0,133832.0
613,twelfth night,William Shakespeare,3.96,188163,16996,9780743484961.0,0743484967,twelfth night,,William Shakespeare,Drama,http://books.google.com/books/content?id=DPQ2dddy3_gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Background information about Shakespeare, Elizabethan theater, and the text accompany his play about unrequited love and mistaken identity.",2005.0,3.98,222.0,182.0
614,"the unbecoming of mara dyer (mara dyer, #1)",Michelle Hodkin,4.02,186733,16950,,,,,,,,,,,,
615,the truth about forever,Sarah Dessen,4.12,224541,16844,,,,,,,,,,,,
616,"cress (the lunar chronicles, #3)",Marissa Meyer,4.41,381766,16823,,,,,,,,,,,,
617,"trainspotting (mark renton, #2)",Irvine Welsh,4.11,170702,16788,,,,,,,,,,,,
618,"du côté de chez swann (à la recherche du temps perdu, #1)",Marcel Proust,4.15,63120,16756,,,,,,,,,,,,
619,"they both die at the end (death-cast, #1)",Adam Silvera,3.76,790316,16719,,,,,,,,,,,,
620,nine stories,J.D. Salinger,4.18,150220,16691,,,,,,,,,,,,
621,the art of war,Sun Tzu,3.95,514032,16658,9781590302255.0,1590302257,the art of war,,Sun-Tzu;Sunzi,Philosophy,http://books.google.com/books/content?id=Kjw1jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Written around the 6th century BC, The Art of War is one of the oldest books about war and military strategy, and probably the best. For more than two thousand years, Sun-tzu's ""The Art of War"" has provided leaders with essential advice on battlefield tactics, managing troops and terrain, and employing cunning and deception. Above all, it teaches how, when battles commences, to think on your feet and catch your enemy off guard. An elemental part of Chinese culture, it has also become a touchstone for the Western struggle for survival and success.",2005.0,3.97,273.0,214954.0
622,"ishmael (ishmael, #1)",Daniel Quinn,4.01,99792,16644,,,,,,,,,,,,
624,lady chatterley’s lover,D.H. Lawrence,3.5,129753,16539,,,,,,,,,,,,
625,pericles and aspasia: a story of ancient greece,Yvonne Korshak,4.29,16110,16506,,,,,,,,,,,,
626,"scarlet (the lunar chronicles, #2)",Marissa Meyer,4.24,434629,16503,,,,,,,,,,,,
627,i capture the castle,Dodie Smith,3.99,108140,16500,9780312181109.0,0312181108,i capture the castle,,Dodie Smith,Fiction,http://books.google.com/books/content?id=cxAZf0kIy84C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The 1934 journal of seventeen-year-old Cassandra Mortmain reveals her perspective on six stormy months in the eccentric and poverty-stricken life of her family in a ruined Suffolk castle, ending with the revelation that Cassandra is deeply in love.",1948.0,4.0,343.0,62290.0
628,"red dragon (hannibal lecter, #1)",Thomas Harris,4.06,345669,16497,,,,,,,,,,,,
629,"slammed (slammed, #1)",Colleen Hoover,4.16,403157,16437,,,,,,,,,,,,
630,"i am number four (lorien legacies, #1)",Pittacus Lore,3.94,345565,16436,,,,,,,,,,,,
631,"dead to the world (sookie stackhouse, #4)",Charlaine Harris,4.12,262628,16434,,,,,,,,,,,,
632,"the last unicorn (the last unicorn, #1)",Peter S. Beagle,4.16,114597,16426,,,,,,,,,,,,
633,"the goose girl (the books of bayern, #1)",Shannon Hale,4.14,145258,16386,,,,,,,,,,,,
634,sapiens: a brief history of humankind,Yuval Noah Harari,4.35,1098508,16382,,,,,,,,,,,,
635,"the bronze horseman (the bronze horseman, #1)",Paullina Simons,4.29,88952,16374,,,,,,,,,,,,
636,"acheron (dark-hunter, #14)",Sherrilyn Kenyon,4.56,60545,16303,,,,,,,,,,,,
637,demian,Hermann Hesse,4.14,119157,16303,,,,,,,,,,,,
638,"captive in the dark (the dark duet, #1)",C.J. Roberts,3.94,73946,16178,,,,,,,,,,,,
639,"you are special (wemmicksville, #1)",Max Lucado,4.45,52932,16170,,,,,,,,,,,,
640,the hours,Michael Cunningham,3.95,144045,16155,9781841150352.0,1841150355,the hours,,Michael Cunningham,American fiction,http://books.google.com/books/content?id=rbLQpzFDKOcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Exiled in Richmond in the 1920s, Virginia Woolf struggles to tame her rebellious mind and make a start on her new novel. In 1990s New York, Clarissa Vaughan goes shopping for flowers for a party for her AIDS-suffering poet-friend. This novel meditates on artistic behaviour, love and madness.",1999.0,3.93,230.0,1533.0
641,cyrano de bergerac,Edmond Rostand,4.06,86108,16096,9781854591173.0,1854591177,cyrano de bergerac,,Edmond Rostand,Drama,http://books.google.com/books/content?id=txm46dfx0WMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Translated by Anthony Burgess.,1991.0,4.06,192.0,58.0
642,"drums of autumn (outlander, #4)",Diana Gabaldon,4.35,257298,16074,,,,,,,,,,,,
643,"speaker for the dead (ender's saga, #2)",Orson Scott Card,4.1,260756,16070,,,,,,,,,,,,
644,the arabian nights,Anonymous,4.03,78525,15921,,,,,,,,,,,,
645,a man called ove,Fredrik Backman,4.38,1089347,15917,,,,,,,,,,,,
646,julius caesar,William Shakespeare,3.7,209273,15914,9780198320272.0,0198320272,julius caesar,,William Shakespeare,Juvenile Nonfiction,http://books.google.com/books/content?id=NlmkhO3vZQ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Caesar returns from a triumphant battle to Rome, despite warning along the way, only to fall into the assassination plot set by Brutus, Cassius, and Casca.",2001.0,3.67,128.0,133575.0
647,"world without end (kingsbridge, #2)",Ken Follett,4.31,258732,15899,,,,,,,,,,,,
648,1984,George Orwell,4.19,4840037,15872,9780452284234.0,0452284236,1984,,George Orwell,London (England),http://books.google.com/books/content?id=Ocq6hABFxOEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Portrays a terrifying vision of life in the future when a totalitarian government, considered a ""Negative Utopia,"" watches over all citizens and directs all activities, becoming more powerful as time goes by.",2003.0,4.17,339.0,9298.0
649,the glass menagerie,Tennessee Williams,3.73,136271,15809,,,,,,,,,,,,
650,we need to talk about kevin,Lionel Shriver,4.08,200676,15774,,,,,,,,,,,,
651,"the talisman (the talisman, #1)",Stephen King,4.11,133523,15773,,,,,,,,,,,,
652,"heartstopper: volume one (heartstopper, #1)",Alice Oseman,4.45,781921,15770,,,,,,,,,,,,
653,"the knife of never letting go (chaos walking, #1)",Patrick Ness,3.97,197761,15768,,,,,,,,,,,,
654,the love hypothesis,Ali Hazelwood,4.13,1523324,15747,,,,,,,,,,,,
655,miracle,Johnathon Nicolaou,4.59,290,15678,,,,,,,,,,,,
656,"dome: rebellion (dome, #1)",Johnathon Nicolaou,4.46,370,15634,,,,,,,,,,,,
657,gray after dark,Noelle W. Ihli,4.24,32478,15498,,,,,,,,,,,,
658,"a wizard of earthsea (earthsea cycle, #1)",Ursula K. Le Guin,4.01,330660,15464,,,,,,,,,,,,
659,of monsters and planes,Johnathon Nicolaou,4.58,321,15417,,,,,,,,,,,,
660,"p.s. i love you (p.s. i love you, #1)",Cecelia Ahern,4.03,386620,15346,,,,,,,,,,,,
661,"hunted (house of night, #5)",P.C. Cast,3.93,186047,15346,,,,,,,,,,,,
662,interpreter of maladies,Jhumpa Lahiri,4.17,198001,15340,,,,,,,,,,,,
663,"the lies of locke lamora (gentleman bastard, #1)",Scott Lynch,4.31,309364,15225,,,,,,,,,,,,
664,"a court of silver flames (a court of thorns and roses, #4)",Sarah J. Maas,4.47,1470989,15190,,,,,,,,,,,,
665,"the queen of the damned (the vampire chronicles, #3)",Anne Rice,3.92,155670,15186,,,,,,,,,,,,
667,the club,Ellery Lloyd,3.29,113104,15163,,,,,,,,,,,,
668,no one can know,Kate Alice Marshall,3.68,56564,15162,,,,,,,,,,,,
669,"a dog's purpose (a dog's purpose, #1)",W. Bruce Cameron,4.35,135362,15161,,,,,,,,,,,,
670,"1q84 (1q84, #1-3)",Haruki Murakami,3.95,321738,15101,,,,,,,,,,,,
671,"the scorch trials (the maze runner, #2)",James Dashner,3.9,601871,15057,,,,,,,,,,,,
672,"the silver chair (chronicles of narnia, #4)",C.S. Lewis,3.96,308756,15050,,,,,,,,,,,,
673,"wicked lovely (wicked lovely, #1)",Melissa Marr,3.7,164704,15040,,,,,,,,,,,,
674,before i fall,Lauren Oliver,3.89,341004,15024,,,,,,,,,,,,
675,verity,Colleen Hoover,4.31,3061309,15019,,,,,,,,,,,,
676,ask for andrea,Noelle W. Ihli,4.1,124890,15016,,,,,,,,,,,,
677,"guards! guards! (discworld, #8; city watch, #1)",Terry Pratchett,4.34,217526,14916,,,,,,,,,,,,
678,"the secret (the secret, #1)",Rhonda Byrne,3.73,495716,14906,,,,,,,,,,,,
679,a brief history of time,Stephen Hawking,4.21,446474,14890,9780553053401.0,055305340X,a brief history of time,,Stephen Hawking,Cosmology,,"""Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.""--BOOK JACKET.",1998.0,4.16,198.0,1524.0
679,a brief history of time,Stephen Hawking,4.21,446474,14890,9780553380163.0,0553380168,a brief history of time,,Stephen Hawking,Science,http://books.google.com/books/content?id=YmGxbPHFO_EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An anniversary edition of a now-classic survey of the origin and nature of the universe features a new introduction by the author and a new chapter on the possibility of time travel and ""wormholes"" in space",1998.0,4.16,212.0,214520.0
679,a brief history of time,Stephen Hawking,4.21,446474,14890,9780593043165.0,0593043162,a brief history of time,,Stephen Hawking,Cosmology,http://books.google.com/books/content?id=v6CQvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Stephen Hawking's A Brief History of Time has become an international publishing phenomenon. Translated into thirty languages, it has sold over nine million copies worldwide and lives on as a science book that continues to captivate and inspire new readers each year. When it was first published in 1988 the ideas discussed in it were at the cutting edge of what was then known about the universe. In the intervening ten years there have been extraordinary advances in the technology of observing both the micro- and macro-cosmic world. Indeed, during that time cosmology and the theoretical sciences have entered a new golden age. Professor Hawking is one of the major scientists and thinkers to have contributed to this renaissance. In this special, fully updated edition, which marks the tenth anniversary of the book's original ground-breaking publication, Professor Hawking has included the most recent developments in the field, many of which were forecast by him. He has also written a new introduction as well as an additional chapter on wormholes and time travel. A Brief History of Time has rightly been hailed as the publishing sensation of the past decade and is surely destined to become one of the greatest classics of science writing.",1998.0,4.16,241.0,222.0
680,house of leaves,Mark Z. Danielewski,4.09,179365,14852,9780385603102.0,038560310X,house of leaves,,Mark Z. Danielewski,Experimental fiction,http://books.google.com/books/content?id=-ndjtDlVIKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Johnny Truant wild and troubled sometime employee in a LA tattoo parlour, finds a notebook kept by Zampano, a reclusive old man found dead in a cluttered apartment. Herein is the heavily annotated story of the Navidson Report. Will Navidson, a photojournalist, and his family move into a new house. What happens next is recorded on videotapes and in interviews. Now the Navidsons are household names. Zampano, writing on loose sheets, stained napkins, crammed notebooks, has compiled what must be the definitive work on the events on Ash Tree Lane. But Johnny Truant has never heard of the Navidson Record. Nor has anyone else he knows. And the more he reads about Will Navidson's house, the more frightened he becomes. Paranoia besets him. The worst part is that he can't just dismiss the notebook as the ramblings of a crazy old man. He's starting to notice things changing around him . . . Immensely imaginative. Impossible to put down. Impossible to forget. House of Leavesis thrilling, terrifying and unlike anything you have ever read before.",2000.0,4.12,705.0,90180.0
681,"carry on (simon snow, #1)",Rainbow Rowell,4.17,321042,14808,,,,,,,,,,,,
